period,source,amount
2026-06,YT_VIDEOS,6883.25
2026-06,YT_SHORTS,838.58
2026-06,YT_LIVES,2465.24
2026-06,CULTURE_GENESIS,TBD
2026-06,UPTIDES,TBD
2026-06,ACAST,TBD
2026-06,FANATICS,TBD
2026-06,SOCIAL,N/A
2026-06,MERCH,N/A
2026-06,BACKYARD_PROGRAMMATIC,1318.57
2026-05,YT_VIDEOS,4739.60
2026-05,YT_SHORTS,437.29
2026-05,YT_LIVES,2199.12
2026-05,CULTURE_GENESIS,407.53
2026-05,UPTIDES,TBD
2026-05,ACAST,TBD
2026-05,FANATICS,157142.86
2026-05,SOCIAL,N/A
2026-05,MERCH,N/A
2026-05,BACKYARD_PROGRAMMATIC,1338.46
2026-05,BACKYARD_PODCAST,3185.00
2026-04,YT_VIDEOS,4413.73
2026-04,YT_SHORTS,545.95
2026-04,YT_LIVES,2023.31
2026-04,CULTURE_GENESIS,272.52
2026-04,UPTIDES,0.14
2026-04,ACAST,21.82
2026-04,FANATICS,314285.72
2026-04,SOCIAL,N/A
2026-04,MERCH,N/A
2026-04,BACKYARD_PROGRAMMATIC,951.39
2026-04,BACKYARD_PODCAST,1050.00
2026-03,YT_VIDEOS,5078.70
2026-03,YT_SHORTS,527.17
2026-03,YT_LIVES,2367.37
2026-03,CULTURE_GENESIS,1515.64
2026-03,UPTIDES,0.17
2026-03,ACAST,1387.11
2026-03,FANATICS,0.00
2026-03,SOCIAL,N/A
2026-03,MERCH,N/A
2026-02,YT_VIDEOS,3528.49
2026-02,YT_SHORTS,284.47
2026-02,YT_LIVES,3774.16
2026-02,CULTURE_GENESIS,320.39
2026-02,UPTIDES,0.28
2026-02,ACAST,8361.19
2026-02,FANATICS,0.00
2026-02,SOCIAL,N/A
2026-02,MERCH,N/A
2026-02,THREADS,45000.00
2026-01,YT_VIDEOS,4193.08
2026-01,YT_SHORTS,182.65
2026-01,YT_LIVES,878.91
2026-01,CULTURE_GENESIS,676.74
2026-01,UPTIDES,N/A
2026-01,ACAST,7048.49
2026-01,FANATICS,0.00
2026-01,SOCIAL,N/A
2026-01,MERCH,N/A
2025-12,YT_VIDEOS,14418.95
2025-12,YT_SHORTS,277.36
2025-12,YT_LIVES,1.28
2025-12,CULTURE_GENESIS,2887.07
2025-12,UPTIDES,N/A
2025-12,ACAST,1441.56
2025-12,FANATICS,N/A
2025-12,SOCIAL,N/A
2025-12,MERCH,N/A
2025-11,YT_VIDEOS,7986.27
2025-11,YT_SHORTS,234.24
2025-11,YT_LIVES,1.29
2025-11,CULTURE_GENESIS,3155.81
2025-11,UPTIDES,N/A
2025-11,ACAST,2218.64
2025-11,FANATICS,N/A
2025-11,SOCIAL,N/A
2025-11,MERCH,N/A
2025-10,YT_VIDEOS,4882.45
2025-10,YT_SHORTS,108.64
2025-10,YT_LIVES,0.82
2025-10,CULTURE_GENESIS,1520.75
2025-10,UPTIDES,N/A
2025-10,ACAST,837.92
2025-10,FANATICS,N/A
2025-10,SOCIAL,N/A
2025-10,MERCH,N/A
2025-09,YT_VIDEOS,2508.56
2025-09,YT_SHORTS,81.51
2025-09,YT_LIVES,1.42
2025-09,CULTURE_GENESIS,365.06
2025-09,UPTIDES,N/A
2025-09,ACAST,918.70
2025-09,FANATICS,N/A
2025-09,SOCIAL,N/A
2025-09,MERCH,N/A
2025-08,YT_VIDEOS,5206.70
2025-08,YT_SHORTS,236.08
2025-08,YT_LIVES,1.40
2025-08,CULTURE_GENESIS,714.93
2025-08,UPTIDES,N/A
2025-08,ACAST,89.60
2025-08,FANATICS,N/A
2025-08,SOCIAL,N/A
2025-08,MERCH,N/A
2025-07,YT_VIDEOS,7649.82
2025-07,YT_SHORTS,243.56
2025-07,YT_LIVES,2.18
2025-07,CULTURE_GENESIS,N/A
2025-07,UPTIDES,N/A
2025-07,ACAST,N/A
2025-07,FANATICS,N/A
2025-07,SOCIAL,N/A
2025-07,MERCH,N/A
2025-06,YT_VIDEOS,3012.39
2025-06,YT_SHORTS,75.32
2025-06,YT_LIVES,180.18
2025-06,CULTURE_GENESIS,N/A
2025-06,UPTIDES,N/A
2025-06,ACAST,N/A
2025-06,FANATICS,N/A
2025-06,SOCIAL,N/A
2025-06,MERCH,N/A
2025-05,YT_VIDEOS,3811.41
2025-05,YT_SHORTS,18.70
2025-05,YT_LIVES,31.21
2025-05,CULTURE_GENESIS,N/A
2025-05,UPTIDES,N/A
2025-05,ACAST,N/A
2025-05,FANATICS,N/A
2025-05,SOCIAL,N/A
2025-05,MERCH,N/A
2025-04,YT_VIDEOS,784.31
2025-04,YT_SHORTS,12.98
2025-04,YT_LIVES,42.47
2025-04,CULTURE_GENESIS,N/A
2025-04,UPTIDES,N/A
2025-04,ACAST,N/A
2025-04,FANATICS,N/A
2025-04,SOCIAL,N/A
2025-04,MERCH,N/A
2025-03,YT_VIDEOS,2319.51
2025-03,YT_SHORTS,20.86
2025-03,YT_LIVES,8.46
2025-03,CULTURE_GENESIS,N/A
2025-03,UPTIDES,N/A
2025-03,ACAST,N/A
2025-03,FANATICS,N/A
2025-03,SOCIAL,N/A
2025-03,MERCH,N/A
2025-02,YT_VIDEOS,155.61
2025-02,YT_SHORTS,10.68
2025-02,YT_LIVES,186.16
2025-02,CULTURE_GENESIS,N/A
2025-02,UPTIDES,N/A
2025-02,ACAST,N/A
2025-02,FANATICS,N/A
2025-02,SOCIAL,N/A
2025-02,MERCH,N/A
2025-01,YT_VIDEOS,105.36
2025-01,YT_SHORTS,6.18
2025-01,YT_LIVES,3.47
2025-01,CULTURE_GENESIS,N/A
2025-01,ACAST,N/A
2025-01,SOCIAL,N/A
2025-01,MERCH,N/A
2024-12,YT_VIDEOS,98.28
2024-12,YT_SHORTS,5.42
2024-12,YT_LIVES,14.26
2024-12,CULTURE_GENESIS,N/A
2024-12,ACAST,N/A
2024-12,SOCIAL,N/A
2024-12,MERCH,N/A
2024-11,YT_VIDEOS,228.90
2024-11,YT_SHORTS,3.96
2024-11,YT_LIVES,6.38
2024-11,CULTURE_GENESIS,N/A
2024-11,ACAST,N/A
2024-11,SOCIAL,N/A
2024-11,MERCH,N/A
2024-10,YT_VIDEOS,200.99
2024-10,YT_SHORTS,2.18
2024-10,YT_LIVES,134.50
2024-10,CULTURE_GENESIS,N/A
2024-10,ACAST,N/A
2024-10,SOCIAL,N/A
2024-09,YT_VIDEOS,310.61
2024-09,YT_SHORTS,2.09
2024-09,YT_LIVES,8.16
2024-09,CULTURE_GENESIS,N/A
2024-09,ACAST,N/A
2024-09,SOCIAL,N/A
2024-08,YT_VIDEOS,2135.04
2024-08,YT_SHORTS,5.11
2024-08,YT_LIVES,1702.04
2024-08,CULTURE_GENESIS,N/A
2024-08,ACAST,N/A
2024-08,SOCIAL,N/A
2024-07,YT_VIDEOS,1745.68
2024-07,YT_SHORTS,2.73
2024-07,YT_LIVES,1210.78
2024-07,CULTURE_GENESIS,N/A
2024-07,ACAST,N/A
2024-07,SOCIAL,N/A
2024-06,YT_VIDEOS,2662.66
2024-06,YT_SHORTS,9.28
2024-06,YT_LIVES,3030.49
